Image,F1,Jaccard,Recall,Precision,,,
833.png,0.9181434599156119,0.8486739469578783,0.9577464788732394,0.8816855753646677,,,
2069.png,0.7717569786535303,0.6283422459893048,1,0.6283422459893048,,,
3038.png,0.8003095975232198,0.6670967741935484,0.8052959501557633,0.7953846153846154,,,
1169.png,0.9615806805708014,0.9260042283298098,0.9439655172413793,0.9798657718120806,,,         
501.png,0.9519450800915331,0.9082969432314411,0.9189985272459499,0.9873417721518988,,,
31.png,0.9627928341754708,0.9282550930026572,0.9282550930026572,1,,,
2242.png,0.939825448,0.8864818024263431,0.9860240963855421,0.8977621763931549,,,
1014.png,0.9417040358744394,0.8898305084745762,0.9347181008902077,0.9487951807228916,,,
1322.png,0.7006369426751593,0.5392156862745098,0.873015873,0.5851063829787234,,,
1779.png,0.8932907348242811,0.8071593533487298,0.9173228346456693,0.8704856787048568,,,
1217.png,0.9118086696562032,0.8379120879120879,0.9775641025641025,0.8543417366946778,,,
1956.png,0.9235588972431079,0.8579743888242142,0.860981308,0.995945946,,,
108.png,0.9663243372342966,0.9348428835489834,0.9555975436939065,0.9772946859903382,,,
1258.png,0.9405940594059407,0.8878504672897196,0.9693877551020408,0.9134615384615384,,,
571.png,0.9675810473815462,0.9371980676328503,0.9651741293532339,0.97,,,
1888.png,0,0,0,0,,,
35.png,0.2553191489361702,0.14634146341463414,0.14634146341463414,1,,,
2162.png,0.9189265937810592,0.850013134,0.9814983318168031,0.8638547784303257,,,
2582.png,0.9086839749328558,0.8326497128794094,0.9787849566055931,0.847953216,,,
1279.png,0.23097826086956524,0.130568356,0.130568356,1,,,
749.png,0.8379446640316206,0.7210884353741497,0.7878112225938313,0.89489236,,,
2122.png,0.049050086,0.025141643059490085,0.04423676,0.05503876,,,
2928.png,0.8789848344165893,0.7840971838763114,0.8981657179000633,0.8606060606060606,,,
74.png,0.9699523635031148,0.9416577730345073,0.9880552444942142,0.9525008996041742,,,
788.png,0.8674252447737497,0.7658878504672897,0.7762254321572342,0.9829085457271365,,,
707.png,0.9759358288770055,0.9530026109660574,0.9785522788203753,0.9733333333333334,,,
1678.png,0.918819188,0.8498293515358362,0.9822485207100592,0.8630849220103987,,,
909.png,0.8674698795180723,0.7659574468085106,0.7662936142198815,0.9994275901545506,,,
218.png,0.8523622047244095,0.7427101200686106,0.9096638655462185,0.8018518518518518,,,
2046.png,0.9326887318705838,0.8738675958188153,0.8995695839311334,0.9683397683397683,,,
3.png,0.9578358208955223,0.9190834228428213,0.967948718,0.9479320531757754,,,
1270.png,0.5650793650793651,0.3938053097345133,0.839622642,0.4258373205741627,,,
573.png,0.9384339509862522,0.884009009,0.9775840597758406,0.9022988505747126,,,
861.png,0.6037685060565275,0.4324272219009061,0.4324272219009061,1,,,
2463.png,0.27123695976154993,0.15689655172413794,0.9972602739726028,0.15696420871065114,,,
1326.png,0.9045751633986928,0.8257756563245824,0.8501228501228502,0.9664804469273743,,,
528.png,0.9524397776405188,0.9091981132075472,0.9987046632124352,0.910271547,,,
461.png,0.8979591836734694,0.8148148148148148,0.88,0.9166666666666666,,,
803.png,0.7696560196560197,0.6255616575137294,0.7280650784427658,0.8162866449511401,,,
1392.png,0.9553023663453112,0.9144295302013423,0.9891107078039928,0.923728814,,,
298.png,0.9294117647058824,0.8681318681318682,0.8745387453874539,0.9916317991631799,,,
3005.png,0.6062602965403624,0.43498817966903075,0.8105726872246696,0.4842105263157895,,,
1239.png,0.8932261768082663,0.8070539419087137,0.9923469387755102,0.8121085594989561,,,
2839.png,0,0,0,0,,,
2605.png,0.7252222945131208,0.5689009867301803,0.9510807736063709,0.5860497721696459,,,
1529.png,0.9005736137667304,0.8191304347826087,0.8954372623574145,0.9057692307692308,,,
574.png,0.9790619765494137,0.9589827727645611,0.9948936170212765,0.9637262984336357,,,
2574.png,0.9167794316644114,0.8463460337289195,0.9312714776632303,0.9027315123251166,,,
1702.png,0.9046728971962615,0.825938567,0.983739837,0.8373702422145328,,,
1732.png,0.870559412,0.7707881417208966,1,0.7707881417208966,,,
1266.png,0.9182389937106918,0.8488372093023255,0.8902439024390244,0.948051948,,,
1808.png,0.7148148148148148,0.5561959654178674,1,0.5561959654178674,,,
1085.png,0.6180257510729614,0.4472049689440994,0.45188284518828453,0.9773755656108597,,,
653.png,0.9790530846484935,0.9589657110736369,0.9861271676300578,0.972079772,,,
2791.png,0.5968529571351058,0.4253673627223511,0.42834890965732086,0.9838998211091234,,,
1187.png,0.9634049323786793,0.9293937068303914,0.9358578052550232,0.9926229508196721,,,
2744.png,0.8182665424044734,0.692429022,0.9089026915113871,0.7440677966101695,,,
1023.png,0.8976660682226213,0.8143322475570033,0.8143322475570033,1,,,
1667.png,0.018575851393188854,0.009375,0.009375,1,,,
904.png,0.9018075232046898,0.8211743772241993,1,0.8211743772241993,,,
701.png,0.9679032930387662,0.9378029079159935,0.9493049877350777,0.9872448979591837,,,
381.png,0.9337589784517158,0.875748503,0.9375,0.9300476947535771,,,
478.png,0,0,0,0,,,
1354.png,0.9423357664233577,0.8909592822636301,0.9885145482388974,0.90027894,,,
2701.png,0.9544396408380447,0.9128498727735369,0.9624413145539906,0.9465699208443272,,,
